source,target,weight,type
1,107,2,undirected
1,1195,1,undirected
1,124,1,undirected
1,127,1,undirected
1,128,2,undirected
1,1322,1,undirected
1,149,1,undirected
1,158,1,undirected
1,1634,1,undirected
1,198,1,undirected
1,205,1,undirected
1,2434,1,undirected
1,250,1,undirected
1,261,1,undirected
1,269,1,undirected
1,270,1,undirected
1,2718,1,undirected
1,2767,1,undirected
1,307,1,undirected
1,315,1,undirected
1,3659,1,undirected
1,3748,1,undirected
1,3784,1,undirected
1,3797,1,undirected
1,3835,1,undirected
1,3868,1,undirected
1,3875,3,undirected
1,3899,1,undirected
1,3901,2,undirected
1,3921,1,undirected
1,3922,1,undirected
1,3925,3,undirected
1,3972,1,undirected
1,3973,1,undirected
1,3979,1,undirected
1,3982,2,undirected
1,4021,1,undirected
1,4087,1,undirected
1,4110,1,undirected
1,4142,1,undirected
1,4165,1,undirected
1,4169,1,undirected
1,4171,1,undirected
1,4205,1,undirected
1,4206,1,undirected
1,4249,1,undirected
1,4257,3,undirected
1,4300,1,undirected
1,4301,1,undirected
1,4304,2,undirected
1,4305,1,undirected
1,4308,1,undirected
1,4343,4,undirected
1,4356,1,undirected
1,4361,1,undirected
1,4405,1,undirected
1,4435,1,undirected
1,4439,1,undirected
1,4456,1,undirected
1,4459,1,undirected
1,4489,3,undirected
1,4490,1,undirected
1,4558,1,undirected
1,4715,1,undirected
1,4724,1,undirected
1,4763,1,undirected
1,4854,5,undirected
1,4857,1,undirected
1,4885,1,undirected
1,4950,2,undirected
1,4960,1,undirected
1,4977,1,undirected
1,4982,2,undirected
1,4989,1,undirected
1,5027,1,undirected
1,5030,1,undirected
1,5075,1,undirected
1,5091,1,undirected
1,5095,1,undirected
1,5118,1,undirected
1,5143,1,undirected
1,5185,1,undirected
1,5285,1,undirected
1,5362,1,undirected
1,5402,1,undirected
1,5433,1,undirected
1,55,1,undirected
1,5643,1,undirected
1,5679,1,undirected
1,5834,1,undirected
1,5986,2,undirected
1,60,1,undirected
10,1044,1,undirected
10,112,1,undirected
10,1204,1,undirected
10,121,1,undirected
10,1278,1,undirected
10,1334,1,undirected
10,1370,2,undirected
10,1479,1,undirected
10,154,1,undirected
10,162,2,undirected
10,165,1,undirected
10,17,1,undirected
10,1867,1,undirected
10,1965,1,undirected
10,2,3,undirected
10,201,1,undirected
10,2048,1,undirected
10,219,6,undirected
10,25,1,undirected
10,2587,1,undirected
10,2633,1,undirected
10,2659,1,undirected
10,2669,9,undirected
10,2672,1,undirected
10,2673,7,undirected
10,2675,4,undirected
10,2698,1,undirected
10,2718,1,undirected
10,2725,1,undirected
10,2732,1,undirected
10,2816,3,undirected
10,2824,5,undirected
10,2825,1,undirected
10,2866,1,undirected
10,2868,1,undirected
10,2914,1,undirected
10,2945,1,undirected
10,2959,1,undirected
10,2960,1,undirected
10,2963,1,undirected
10,298,1,undirected
10,3007,1,undirected
10,3009,2,undirected
10,3013,3,undirected
10,3024,1,undirected
10,3038,1,undirected
10,3041,1,undirected
10,3044,1,undirected
10,3060,3,undirected
10,3079,1,undirected
10,3114,1,undirected
10,3131,2,undirected
10,3134,1,undirected
10,3159,2,undirected
10,3179,1,undirected
10,3209,1,undirected
10,3213,1,undirected
10,3215,2,undirected
10,3216,3,undirected
10,3253,1,undirected
10,3279,1,undirected
10,3293,1,undirected
10,3294,1,undirected
10,3301,2,undirected
10,3302,3,undirected
10,3308,4,undirected
10,3309,1,undirected
10,3325,1,undirected
10,3328,1,undirected
10,3338,1,undirected
10,3349,1,undirected
10,3362,1,undirected
10,3455,2,undirected
10,3462,1,undirected
10,3543,1,undirected
