Source,Target,Type,Id,Label,Weight
1,5986,Directed,575118,,2
1,5901,Directed,575117,,1
1,5643,Directed,575114,,1
1,5433,Directed,575113,,1
1,5402,Directed,575112,,1
1,5285,Directed,575110,,1
1,5118,Directed,575107,,1
1,5095,Directed,575106,,2
1,5091,Directed,575105,,1
1,5075,Directed,575104,,1
1,5051,Directed,575103,,1
1,5030,Directed,575102,,1
1,5027,Directed,575101,,1
1,4989,Directed,575100,,1
1,4982,Directed,575099,,3
1,4977,Directed,575098,,1
1,4962,Directed,575097,,1
1,4960,Directed,575096,,1
1,4957,Directed,575095,,1
1,4954,Directed,575094,,1
1,4950,Directed,575093,,3
1,4885,Directed,575092,,2
1,4857,Directed,575091,,1
1,4854,Directed,575090,,6
1,4727,Directed,575088,,1
1,4726,Directed,575087,,1
1,4724,Directed,575086,,1
1,4715,Directed,575085,,1
1,4558,Directed,575084,,1
1,4512,Directed,575083,,1
1,4490,Directed,575082,,1
1,4489,Directed,575081,,3
1,4459,Directed,575080,,1
1,4456,Directed,575079,,1
1,4439,Directed,575078,,1
1,4435,Directed,575077,,1
1,4405,Directed,575076,,1
1,4403,Directed,575075,,1
1,4361,Directed,575074,,1
1,4356,Directed,575073,,1
1,4343,Directed,575072,,5
1,4308,Directed,575071,,1
1,4305,Directed,575070,,1
1,4304,Directed,575069,,2
1,4301,Directed,575068,,1
1,4300,Directed,575067,,1
1,4257,Directed,575066,,4
1,4249,Directed,575065,,1
1,4208,Directed,575064,,1
1,4206,Directed,575063,,2
1,4205,Directed,575062,,1
1,4171,Directed,575061,,2
1,4169,Directed,575060,,1
1,4165,Directed,575059,,1
1,4142,Directed,575058,,1
1,4087,Directed,575056,,1
1,4021,Directed,575055,,1
1,3982,Directed,575054,,2
1,3979,Directed,575053,,1
1,3973,Directed,575052,,1
1,3972,Directed,575051,,1
1,3925,Directed,575050,,4
1,3922,Directed,575049,,1
1,3901,Directed,575047,,2
1,3899,Directed,575046,,1
1,3894,Directed,575045,,1
1,3875,Directed,575044,,4
1,3868,Directed,575043,,1
1,3835,Directed,575042,,1
1,3797,Directed,575041,,2
1,3784,Directed,575040,,2
1,3748,Directed,575039,,1
1,3659,Directed,575038,,1
1,2718,Directed,575036,,1
1,1195,Directed,575032,,1
1,315,Directed,575031,,1
1,307,Directed,575030,,1
1,270,Directed,575029,,1
1,205,Directed,575025,,1
1,149,Directed,575022,,1
1,128,Directed,575021,,2
1,127,Directed,575020,,1
1,124,Directed,575019,,1
1,107,Directed,575018,,2
1,60,Directed,575017,,2
5247,1,Directed,741890,,1
4898,1,Directed,737096,,1
4764,1,Directed,735349,,1
4366,1,Directed,728188,,1
4290,1,Directed,726510,,1
4289,1,Directed,726506,,1
4081,1,Directed,721715,,1
3868,1,Directed,715627,,1
258,1,Directed,589114,,1
60,5947,Directed,578017,,1
60,5575,Directed,578016,,1
60,3875,Directed,578015,,1
60,886,Directed,578014,,1
60,7,Directed,578011,,1
