source,target,weight,type
1,60,1,undirected
1,4950,1,undirected
1,3875,1,undirected
1,4854,1,undirected
1,5901,1,undirected
1,4954,1,undirected
1,4957,1,undirected
1,5051,1,undirected
1,3784,1,undirected
1,5095,1,undirected
1,4962,1,undirected
1,4206,1,undirected
1,4257,1,undirected
1,4726,1,undirected
1,4208,1,undirected
1,4727,1,undirected
1,4343,1,undirected
1,3925,1,undirected
1,3894,1,undirected
1,3797,1,undirected
1,4403,1,undirected
1,4171,1,undirected
1,4982,1,undirected
1,4512,1,undirected
1,4885,1,undirected
2,78,1,undirected
2,5835,1,undirected
2,5952,1,undirected
2,5856,1,undirected
2,5005,1,undirected
2,1560,1,undirected
4,56,1,undirected
4,2669,1,undirected
4,2824,1,undirected
4,1965,1,undirected
6,5835,1,undirected
6,1132,1,undirected
6,2053,1,undirected
7,5770,1,undirected
7,5463,1,undirected
9,744,1,undirected
12,1395,1,undirected
12,1132,1,undirected
12,153,1,undirected
12,1819,1,undirected
12,2118,1,undirected
13,202,1,undirected
15,406,1,undirected
15,1370,1,undirected
15,1420,1,undirected
15,1529,1,undirected
15,1601,1,undirected
15,3304,1,undirected
15,3106,1,undirected
15,2480,1,undirected
15,117,1,undirected
15,3451,1,undirected
15,2629,1,undirected
15,2770,1,undirected
15,3123,1,undirected
15,3064,1,undirected
15,2776,1,undirected
15,3416,1,undirected
15,2213,1,undirected
15,3133,1,undirected
15,3367,1,undirected
15,3373,1,undirected
15,5870,1,undirected
16,5835,1,undirected
16,250,1,undirected
16,3305,1,undirected
16,4160,1,undirected
17,103,1,undirected
17,3735,1,undirected
17,4999,1,undirected
17,3835,1,undirected
17,4733,1,undirected
17,4499,1,undirected
18,5270,1,undirected
18,4480,1,undirected
18,5852,1,undirected
18,4065,1,undirected
18,4577,1,undirected
18,4763,1,undirected
18,111,1,undirected
19,1569,1,undirected
19,2154,1,undirected
19,2157,1,undirected
19,3387,1,undirected
19,4065,1,undirected
19,4216,1,undirected
19,4824,1,undirected
20,5315,1,undirected
20,2864,1,undirected
20,5398,1,undirected
20,302,1,undirected
20,3399,1,undirected
20,5712,1,undirected
20,5852,1,undirected
20,4065,1,undirected
20,3206,1,undirected
21,403,1,undirected
21,646,1,undirected
21,155,1,undirected
21,742,1,undirected
21,257,1,undirected
21,748,1,undirected
22,66,1,undirected
22,3545,1,undirected
22,5274,1,undirected
22,3212,1,undirected
23,30,1,undirected
23,298,1,undirected
23,2192,1,undirected
23,2242,1,undirected
23,4110,1,undirected
23,4480,1,undirected
23,5619,1,undirected
23,205,1,undirected
23,4385,1,undirected
23,158,1,undirected
23,1136,1,undirected
23,1137,1,undirected
23,164,1,undirected
23,2061,1,undirected
23,1259,1,undirected
24,5270,1,undirected
24,4110,1,undirected
24,2382,1,undirected
24,4480,1,undirected
24,1854,1,undirected
24,18,1,undirected
24,4587,1,undirected
24,3387,1,undirected
26,1707,1,undirected
26,5834,1,undirected
26,199,1,undirected
26,302,1,undirected
26,2196,1,undirected
26,3256,1,undirected
26,2622,1,undirected
26,161,1,undirected
26,3454,1,undirected
26,5499,1,undirected
26,2532,1,undirected
26,2773,1,undirected
26,4734,1,undirected
26,5460,1,undirected
26,5462,1,undirected
26,3037,1,undirected
26,5817,1,undirected
27,250,1,undirected
27,3550,1,undirected
28,5834,1,undirected
28,2048,1,undirected
28,3874,1,undirected
