id,component,cluster_louvain,cluster_leiden,degree,closeness,eigen_centrality,Label
496,0,1,1,18,0.26533830320167784,0.012000416802489285,https://openalex.org/W2905312190
401,0,1,1,23,0.2622315942753021,0.007677586361215265,https://openalex.org/W2783298993
646,0,1,1,27,0.30538713881404145,0.01934669851147508,https://openalex.org/W2784513399
402,0,1,1,40,0.28647781717712734,0.004528212816225708,https://openalex.org/W2168873555
791,0,1,1,39,0.2770891334752662,0.005810536635451186,https://openalex.org/W2751190536
1039,0,1,1,57,0.3084080547555473,0.010261441488701669,https://openalex.org/W2764054221
404,0,1,1,55,0.28706231285433936,0.015407278204472767,https://openalex.org/W2907753745
497,0,1,1,8,0.2721553471982292,0.004257150877242516,https://openalex.org/W1590085426
702,0,1,1,9,0.27176445496561324,0.004890764053491735,https://openalex.org/W2787511792
459,0,1,1,9,0.2305350857159355,0.0005013024493148466,https://openalex.org/W1988705811
462,0,1,1,22,0.26383287384415316,0.0019588754884565344,https://openalex.org/W2144962105
948,0,1,1,20,0.26055062251712713,0.0016024024098875078,https://openalex.org/W2055468246
554,0,1,1,20,0.25086618708959435,0.0017160612924162198,https://openalex.org/W2476778668
463,0,1,1,21,0.26092230671472644,0.0019743594211781416,https://openalex.org/W2156317335
5963,0,1,1,64,0.3362870693271249,0.009684841064083597,https://openalex.org/W1537423324
802,0,1,1,19,0.2522964784684674,0.0017895359932600502,https://openalex.org/W2766899702
468,0,1,1,39,0.2850491485823739,0.0038345179070658594,https://openalex.org/W2556406372
1000,0,1,1,12,0.2554084951689954,0.0016167445423442854,https://openalex.org/W2754986409
909,0,1,1,10,0.2518564332037773,0.0010763914239910334,https://openalex.org/W2562562477
519,0,1,1,29,0.2830932317087498,0.003219727990842605,https://openalex.org/W2132954557
912,0,1,1,6,0.24797523997698379,0.0010446389585080321,https://openalex.org/W2073840594
477,0,1,1,13,0.2522732798588891,0.001096820527514845,https://openalex.org/W2471249541
670,0,1,1,7,0.22522661865167248,0.0002477732414860475,https://openalex.org/W2769291947
864,0,1,1,13,0.2788917972152832,0.0037204302688940323,https://openalex.org/W2252772284
1118,0,1,1,15,0.25550363709306656,0.0010901908021192733,https://openalex.org/W2065591269
1062,0,1,1,11,0.2405504410245363,0.0011181389830342513,https://openalex.org/W2270438198
673,0,1,1,24,0.280718069791308,0.0021542314831401203,https://openalex.org/W2153099307
722,0,1,1,12,0.25243575977414995,0.0009926704665687782,https://openalex.org/W2085212560
1019,0,1,1,5,0.23903102065737486,0.000584104951470124,https://openalex.org/W2779019750
583,0,1,1,10,0.2659556082886146,0.0032002573920182436,https://openalex.org/W1833846818
584,0,1,1,3,0.2262108302844827,0.00019679383508641534,https://openalex.org/W2022732693
47,0,1,1,19,0.2941250059075202,0.005622867111505375,https://openalex.org/W195095053
877,0,1,1,8,0.2547090057192915,0.001878800142718375,https://openalex.org/W2340334738
980,0,1,1,24,0.2534384605889195,0.0013330212678868416,https://openalex.org/W2811118869
5355,0,1,1,62,0.33436086223939415,0.009692013184050404,https://openalex.org/W2481271746
543,0,1,1,4,0.225485765778126,0.00021557194991879872,https://openalex.org/W2761742400
403,0,1,1,29,0.28901275203890747,0.015612340041719625,https://openalex.org/W2002841870
742,0,1,1,23,0.3022582411705793,0.016563330184307,https://openalex.org/W2755224296
1086,0,1,1,44,0.28890623441324154,0.018363721636673717,https://openalex.org/W2263420555
400,0,1,1,69,0.3007012335713885,0.014845414716103837,https://openalex.org/W2793228343
649,0,1,1,37,0.30113028812483245,0.031824898190297664,https://openalex.org/W1857564753
748,0,1,1,16,0.29768329139102134,0.009986514926667325,https://openalex.org/W2555442175
652,0,1,1,15,0.2609099001574199,0.0052354590157614464,https://openalex.org/W2140895492
