source,target,weight
1,60,1
1,3784,1
1,3797,1
1,3875,1
1,3894,1
1,3925,1
1,4171,1
1,4206,1
1,4208,1
1,4257,1
1,4343,1
1,4403,1
1,4512,1
1,4726,1
1,4727,1
1,4854,1
1,4885,1
1,4950,1
1,4954,1
1,4957,1
1,4962,1
1,4982,1
1,5051,1
1,5095,1
1,5901,1
2,78,1
2,1560,1
2,5005,1
2,5835,1
2,5856,1
2,5952,1
4,56,1
4,1965,1
4,2669,1
4,2824,1
6,1132,1
6,2053,1
6,5835,1
7,5463,1
7,5770,1
9,744,1
12,153,1
12,1132,1
12,1395,1
12,1819,1
12,2118,1
13,202,1
15,117,1
15,406,1
15,1370,1
15,1420,1
15,1529,1
15,1601,1
15,2213,1
15,2480,1
15,2629,1
15,2770,1
15,2776,1
15,3064,1
15,3106,1
15,3123,1
15,3133,1
15,3304,1
15,3367,1
15,3373,1
15,3416,1
15,3451,1
15,5870,1
16,250,1
16,3305,1
16,4160,1
16,5835,1
17,103,1
17,3735,1
17,3835,1
17,4499,1
17,4733,1
17,4999,1
18,111,1
18,4065,1
18,4480,1
18,4577,1
18,4763,1
18,5270,1
18,5852,1
19,1569,1
19,2154,1
19,2157,1
19,3387,1
19,4065,1
19,4216,1
19,4824,1
20,302,1
20,2864,1
20,3206,1
20,3399,1
20,4065,1
20,5315,1
20,5398,1
20,5712,1
20,5852,1
21,155,1
21,257,1
21,403,1
21,646,1
21,742,1
21,748,1
22,66,1
22,3212,1
22,3545,1
22,5274,1
23,30,1
23,158,1
23,164,1
23,205,1
23,298,1
23,1136,1
23,1137,1
23,1259,1
23,2061,1
23,2192,1
23,2242,1
23,4110,1
23,4385,1
23,4480,1
23,5619,1
24,18,1
24,1854,1
24,2382,1
24,3387,1
24,4110,1
24,4480,1
24,4587,1
24,5270,1
26,161,1
26,199,1
26,302,1
26,1707,1
26,2196,1
26,2532,1
26,2622,1
26,2773,1
26,3037,1
26,3256,1
26,3454,1
26,4734,1
26,5460,1
26,5462,1
26,5499,1
26,5817,1
26,5834,1
27,250,1
27,3550,1
28,2048,1
28,3874,1
28,3875,1
28,3881,1
28,3893,1
28,4125,1
28,4155,1
28,4158,1
28,4831,1
28,5058,1
28,5834,1
29,105,1
29,351,1
29,2771,1
29,2938,1
29,2961,1
29,3079,1
29,3314,1
29,5625,1
29,5845,1
30,1384,1
30,1487,1
30,1952,1
30,1964,1
30,2002,1
30,2144,1
30,3136,1
30,3452,1
30,5270,1
31,67,1
31,348,1
31,351,1
31,1132,1
31,2961,1
32,67,1
32,1479,1
32,1877,1
32,2672,1
32,2874,1
32,2881,1
32,3303,1
32,5315,1
32,5836,1
32,5952,1
33,663,1
33,1615,1
33,1624,1
33,1720,1
33,1907,1
33,1972,1
33,1981,1
33,2387,1
33,4958,1
33,5298,1
34,67,1
34,180,1
34,324,1
34,359,1
34,3268,1
34,5414,1
34,5721,1
34,5778,1
34,5836,1
35,2,1
35,62,1
35,152,1
35,2621,1
35,2685,1
35,2965,1
35,3049,1
35,3303,1
35,5835,1
36,3547,1
36,5835,1
37,250,1
37,4160,1
38,1278,1
38,1707,1
38,3302,1
38,5315,1
39,2,1
39,131,1
39,202,1
39,1951,1
39,2048,1
39,3007,1
39,3830,1
39,3982,1
39,4269,1
39,4401,1
39,4418,1
39,4483,1
39,4785,1
39,4825,1
39,4977,1
39,5122,1
40,253,1
40,348,1
40,1755,1
40,4535,1
40,5193,1
40,5315,1
41,20,1
41,3550,1
41,5855,1
42,3,1
44,154,1
44,319,1
44,3592,1
46,105,1
46,213,1
46,2683,1
46,2965,1
46,3008,1
46,3927,1
47,4,1
47,402,1
47,413,1
47,457,1
47,462,1
47,463,1
47,473,1
47,616,1
47,669,1
47,685,1
47,758,1
47,812,1
47,891,1
47,1658,1
47,2201,1
47,5315,1
47,5834,1
48,393,1
50,299,1
50,305,1
50,2864,1
50,2867,1
50,3206,1
50,3735,1
50,3983,1
50,5229,1
52,252,1
55,103,1
55,5985,1
57,8,1
57,72,1
57,210,1
57,228,1
57,266,1
57,324,1
57,1375,1
57,1381,1
